skill,comments,count
Code Elegance,the submission is the same as the original ,2
Code Elegance,"this code demonstrates a deep understanding of programming principles, with each function perfectly aligned with its purpose.",2
Code Elegance,worse than the example.,2
Code Elegance,your code structure is commendable. the use of inheritance and abstraction to define common behaviors across different species shows advanced programming skills. this approach not only avoids redundancy but also facilitates code maintenance and future expansions.,2
Code Elegance,"a lot of code has been repeated through the implementation for each of the animal implementations.  it is more sensible to extract these codes and provide abstract methods to override such behavior. in addition, some extension features are implemented in ways for which it is hard to extend to add new features.",1
Code Elegance,a lot of code has been repeated through the implementation for each of the animal implementations.  it is more sensible to extract these codes and provide abstract methods to override such behavior..,1
Code Elegance,a lot of rewritten code,1
Code Elegance,a lot of rewritten code not utilizing abstract and  interfaces.,1
Code Elegance,a lot of rewritten code where it could be abstracted further. ,1
Code Elegance,a lot of rewritten code where it could have been generalized in an abstract class,1
Code Elegance,"a lot of rewritten code, could have utilized abstract clsses.",1
Code Elegance,abstract classes could be used to improve extensibility,1
Code Elegance,"abstract classes make code reusable and maintainable. to improve the extensibility of your code, it would be better to implement time in a separate class.",1
Code Elegance,"abstraction could go further, e.g. some methods within the animal classes (e.g. wolf) could be within the class animal",1
Code Elegance,abstraction level could be more advanced,1
Code Elegance,abstraction shown from predator and prey classes generalizes the find food method,1
Code Elegance,"abstraction shown in animal class, find food method is generalized and depends on the specific animal diet.",1
Code Elegance,"abstraction shown with actor class and animal class. however, could have implemented prey and predators to further generalize. a lot of rewritten code, act and find food methods.",1
Code Elegance,"abstraction shown with animal and actor class, animal classes do not use rewritten code and are generalized. created a new class to improve coupling",1
Code Elegance,"abstraction shown with predator and prey classes however, rewritten code with the hunt method in each animal",1
Code Elegance,"act function does too much, should break it down.",1
Code Elegance,"act function does too much, should break it down. excellent code reusability, no repeating code.",1
Code Elegance,"act function is similar for all animals, could of implemented it in the animal class for better code reusability.",1
Code Elegance,"act function is similar for all animals, could of implemented it in the animal class rather than having it as an abstract class for better code reusability.",1
Code Elegance,"act function is similar for all animals, should of implemented it in animal class for better code reusability.",1
Code Elegance,"act function is similar for all animals, should of implemented it in animal class for better code reusability. same goes for findfood function.",1
Code Elegance,"act function is similar for all animals, should of implemented it in the animal class. why is plant and infectableanimal class extending from animal class?",1
Code Elegance,advanced abstraction structure in classes however this could still be better utilised with more methods moved up to animal or organism.,1
Code Elegance,all features are implemented to an excellent standard. the student shows good understanding of encapsulation and inheritance. the addition of an actor class type makes for clean code and the sub-division into predator and prey improves modularity. methods are implemented with good use of single-responsibility. ,1
Code Elegance,"all the base tasks and some of the challenge tasks are implemented in such a way that code can be reused, where possible",1
Code Elegance,"all the common variables of the animals should be enclosed in a superclass, rather than defined individually for every class. 'female' class should be a characteristic of an animal, not a separate class. inside many classes, there are other class instances created that are not required. some methods are empty, this is not a good practice.",1
Code Elegance,all the values that are common for many classes could have been initialised in the superclass and then just assigned. the 'givebirth' method is repeated many times in each class.,1
Code Elegance,"all the values that are common to an animal should have been defined in a superclass rather than instantiated in each class. the code is quite easy to read, but a bit too simplistic.",1
Code Elegance,all the variables that are common to animals should have been enclosed in the superclass and defined through the constructor.,1
Code Elegance,animals and plants extend entity. animals may be abstracted further into 'predator' and 'prey' classes for better extendability.,1
Code Elegance,appropriate approaches taken for the implementation of the tasks however inefficient implementation of the environment interactions causes the simulation to execute very slowly.,1
Code Elegance,appropriate approaches taken for the implementation of the tasks however some methods like the canbreed() function  could benefit from further simplification.,1
Code Elegance,appropriate approaches taken to implementation of both core and challenge classes. classes could be better encapsulated however.,1
Code Elegance,appropriate approaches taken to implementation of both core and challenge classes. quite readable although hard to judge effectiveness of implementation with no simulation.,1
Code Elegance,appropriate approaches taken to implementation of both core and challenge classes. would've been more desirable to give each animal their own file to make it easier to discrimnate between each of their expected behaviours. this would've also allowed for better maintainability.,1
Code Elegance,"attempt to use difficult concepts, but the implementation does not run as required...",1
Code Elegance,attempts have been made to reduce repeated code through abstract classes. not very flexible when it comes to the design of weather and weather-based behavior.,1
Code Elegance,base and challenge tasks are very efficiently implemented and remain perfectly readable and maintanable.,1
Code Elegance,basic abstraction class structure however this is excellently utilised with lots of methods residing in the animal class.,1
Code Elegance,class design and hierarchy is sensical.,1
Code Elegance,class design and hierarchy is sensical. smart choice on making manager classes.,1
Code Elegance,class design and hierarchy is sensical. some shared variables can be put into the superclass.,1
Code Elegance,class design is sensical. a lot of copied and pasted code.,1
Code Elegance,class hierarchy allows addition of more organisms. food chain class does not seem the best approach. the food chain should be able to be implied from the class hierarchy.,1
Code Elegance,class hierarchy and design is sensical.,1
Code Elegance,class hierarchy is good and supports extension. non final variables should not be capitalised.,1
Code Elegance,class hierarchy is logical. some seemingly copied and pasted code. logic for each animal type should not be programmed in its superclass.,1
Code Elegance,class hierarchy is sensible. minimal code redundancy.,1
Code Elegance,class hierarchy is sensical and allows for extension. images could be stored in a separate folder to clean folder structure.,1
Code Elegance,class hierarchy is sensical and designed well.,1
Code Elegance,class hierarchy is sensical and uses it well.,1
Code Elegance,"class hierarchy is sensical, but does not use inheritance features to its fullest extent. a lot of copied and pasted code.",1
Code Elegance,class hierarchy is sensical. some copied and pasted code. some questionable code design (why is foodsource instantiated each time getfoodsource is called?).,1
Code Elegance,class hierarchy logic is questionable. why does plant extend animal? findfood method can be generalised better.,1
Code Elegance,class hierarchy makes sense. final variables that require adjustment should not be kept in a class. they should be kept in the relevant method.,1
Code Elegance,class hierarchy works well. a lot of variables are not clear for what they are used for. animal stats are an enum in animal. reason for this is unclear.,1
Code Elegance,class structure and design generally good. some shared variables could be moved to the super class. some further abstractions can be made to move even more shared variables (e.g. distinction between predator and prey.),1
Code Elegance,class structure and design is well-meaning. ,1
Code Elegance,class structure is basic and poorly utilised. much of the code could be written for the animal class instead of being duplicated for each animal.,1
Code Elegance,classes and functions are reusable and maintainable,1
Code Elegance,classes are cohesive and loosely coupled and code makes use of abstraction,1
Code Elegance,classes structure lacks abstraction.,1
Code Elegance,classes were created in different increments and there is a difference of design between them.,1
Code Elegance,clean code standards could be followed. ,1
Code Elegance,clever use of the concepts used during the course,1
Code Elegance,code can be re-used. code is maintainable. excellent use of abstract classes and use of csv for animals. gui elements built in modular manner onto of simulator.,1
Code Elegance,code can be re-used. code is maintainable. excellent use of abstract classes for predators/prey.,1
Code Elegance,code can be re-used. code is maintainable. excellent use of abstract classes. good use of enum for weather.,1
Code Elegance,code can be re-used. code is maintainable. good use of abstract classes and enums.,1
Code Elegance,code can be re-used. code is maintainable. good use of abstract classes for predators/prey but plant implemented as animal.,1
Code Elegance,code can be re-used. code is maintainable. good use of abstract classes for predators/prey.,1
Code Elegance,code can be re-used. code is maintainable. good use of abstract classes. some improvements could be made to make code more re-usable (such as disease in plant class rather then grass.),1
Code Elegance,code can be re-used. code is maintainable. good use of abstract classes. weather implementation is inefficient.,1
Code Elegance,"code can be re-used. code is maintainable. plant not implemented separately, inhibits re-use.",1
Code Elegance,code can be re-used. code is semi-maintainable. abstract classes used but pointless. separate class for each weather inefficient.,1
Code Elegance,code could make use of abstract classes to improve extensibility,1
Code Elegance,code generally well implemented. some design decisions should be reconsidered. some methods show low cohesion.,1
Code Elegance,code has been rewritten where it does not need to be.,1
Code Elegance,code is elegant but seems to be the same as the default submission.,1
Code Elegance,code is generally implemented well. some inconsistent design decisions. some methods have low cohesion (e.g. incrementage also determines if an animal dies),1
Code Elegance,"code is generally quite clean. certain aspects of the program may be over-abstracted; for example, the existence of the simulatable class isn't entirely justified, nor does it make complete sense - everything in your simulation is inherently simulatable. that class seems to be better fitted to describing an organism rather than any simulatable object. similarly, locatable (which is semantically better defined with an interface rather than a class, if it should even exist) doesn't entirely make sense either. it seems every animal should be locatable anyway, so perhaps animals and other non-animal yet locatable objects should inherit a base class providing these aspects. you have some dead code included also.",1
Code Elegance,code is maintainable and extendable with good use of abstract classes,1
Code Elegance,code is maintainable with good use of abstract classes,1
Code Elegance,"code is relatively clean, but there is some disorienting logic, particularly how you are deciding what animals to simulate. is the generation probability being 0 not enough to not simulate an being?",1
Code Elegance,"code is semi-re-usable/maintainable. however, plants implementation as an animal causes problems.",1
Code Elegance,code is well structured and allows for easy extension. animal food values are better stored in the animal themself.,1
Code Elegance,code is written in a reusable manner,1
Code Elegance,code is written in a reusable manner by using abstract classes,1
Code Elegance,code is written in a reusable manner by using abstract classes and loosely coupling components,1
Code Elegance,code is written in a way that is readable and extensible with the use of abstract classes,1
Code Elegance,code is written is a way that is readable and extensible.,1
Code Elegance,code reusability can be improved,1
Code Elegance,code segments could be extracted to a parent class. it is hard to extend for other diseases and weather-based behavior ,1
Code Elegance,"code well structured and well designed. concepts of the class used correctly, some challenges implemented",1
Code Elegance,comcpets of the course well utilised. good structure,1
Code Elegance,concepts f the course used wisely,1
Code Elegance,concepts learnt in class well utilised,1
Code Elegance,concepts of the class well utilised,1
Code Elegance,concepts of the course are used wisely.,1
Code Elegance,concepts of the course very well utilised to serve a clean and clever implementation. weel done,1
Code Elegance,concepts of the course well used,1
Code Elegance,concepts of the course well utilised,1
Code Elegance,"contains couple of formatting, naming issues, some methods can be extracted to abstract class or interface, code reusability sacrificed",1
Code Elegance,contains some small format and naming glitches,1
Code Elegance,could be better.,1
Code Elegance,could make use of additional classes for more abstraction - e.g. predator/prey.,1
Code Elegance,"could of created a separate class for disease. repeating code for finding food, could of implemented this in the animal class.",1
Code Elegance,could of implemented the act and give birth functions in animal class rather than each individual animal for better code reusability.,1
Code Elegance,"could utilise additional classes, e.g. predator/prey to provide additional elegance.",1
Code Elegance,"day act and night act functions are very similar for all animals, should of implemented it in the animal class for better code reusability.",1
Code Elegance,"did not utilize abstraction and interfaces, a lot of rewritten code.",1
Code Elegance,"did not utilize abstraction and interfaces, some rewritten code.",1
Code Elegance,each function is perfectly aligned with its purpose.,1
Code Elegance,easy to read but mistake in localisation,1
Code Elegance,effective use of functional programming concepts.,1
Code Elegance,efficient and clever use of the concepts taught in class to create an original answer to the problem. well done.,1
Code Elegance,"empty class, mistake in the simulation creation ",1
Code Elegance,"examples of abstraction shown, animals implement entities class. eagle extends avian animal showing even further abstraction and less rewritten code",1
Code Elegance,"excellent structure, however there is scope to further utilise this by moving common features to more asbtract classes.",1
Code Elegance,excellent use of abstract classes and i like the use of enums. the code is implemented with good maintainability and modularity. good effort has been made to appropriately hide complexity. ,1
Code Elegance,"excellent use of abstraction with predator type classes, consumable class, etc.",1
Code Elegance,excellent use of classes,1
Code Elegance,excellent use of classes and functions but the code is incomplete,1
Code Elegance,excellent use of classes and functions to make re-usable and maintainable code.,1
Code Elegance,"excellent use of classes and functions, code is modular, reusable and maintainable.",1
Code Elegance,excellent use of classes and functions. efficient code. good use of abstraction.,1
Code Elegance,excellent use of classes and inheritance to organize the code in a maintainable way. species-specific logic is encapsulated in subclasses that inherit shared behavior from abstract base classes. methods are focused and cohesive. the genetic algorithm in the builder class is a creative approach to tuning the simulation parameters.,1
Code Elegance,"features are generally implemented in reusable ways using techniques such as polymorphism and inheritance. furthermore, good class design for cohesive classes.",1
Code Elegance,"features are generally implemented in reusable ways using techniques such as polymorphism and inheritance. however, it is not easy to add new weather or diseases to the environment.",1
Code Elegance,features are implemented in ways in which it is maximally reusable through the use of inheritance and polymorphism of classes.,1
Code Elegance,"format, naming issues + does not satisfy clean code principles ",1
Code Elegance,"generally correct organisation of code but there is a lot of repetition, for example, you have implemented identical getters and setters for identical variables in the class. you can use a private (but not final) variable for the breeding_age, max_age, etc, variables in its superclass with no setter such that it is only defined in the constructor, and you don't need to reimplement getters every time.",1
Code Elegance,generally good and sensical class design. ,1
Code Elegance,generally good class design and hierarchy.,1
Code Elegance,generally good class design and hierarchy. further abstractions can be made between prey and predator.,1
Code Elegance,generally good class design and hierarchy. some child variables can be moved to the superclass.,1
Code Elegance,generally good class design and sensical hierarchy. some child class methods can be moved to the super class.,1
Code Elegance,generally good class design and structure. more shared variables could be put inside the relevant superclass. a lot of commented out code. some misuse of variable access.,1
Code Elegance,generally good class design.,1
Code Elegance,generally good class structure and design.,1
Code Elegance,"generally good class structure. class design could be better, as a lot of shared variables and methods should have been moved to the superclass.",1
Code Elegance,generally good code structure and design. further abstraction can be made between animal types so that more variables can be shared.,1
Code Elegance,"generally good use of classes. however, some more work will be needed to reduce repeated code segments in animal classes, such as their behavior. it is hard to extend the program for more sophisticated extension features such as time, diseases, and weather.",1
Code Elegance,generally little repeated code exists in projects other than the breeding function. design choices have led to difficulty in extending the function.,1
Code Elegance,"generally okay use of classes. however some more work will be needed to reduce repeated code in animal classes, such as their behaviour. ",1
Code Elegance,"generally okay use of classes. however, some more work will be needed to reduce repeated code in animal classes, such as their behaviour. ",1
Code Elegance,"generally okay use of classes. however, some more work will be needed to reduce repeated code segments in animal classes, such as their behavior. ",1
Code Elegance,"generally okay use of classes. however, some more work will be needed to reduce repeated code segments in animal classes, such as their behaviour. ",1
Code Elegance,"generally okay use of classes. however, some more work will be needed to reduce repeated codes in animal classes, such as their behavior. this results in code a little cluttered and hard to extend for new features for plants.",1
Code Elegance,"generally okay use of classes. however, some more work will be needed to reduce repeated codes in animal classes, such as their behavior. this results in code a little cluttered and hard to extend for new features. also it is hard to add new weather and diseases.",1
Code Elegance,"generally okay use of classes. however, some more work will be needed to reduce repeated codes in animal classes, such as their behavior. this results in code a little cluttered and hard to extend for new features. also, it is hard to add new weather and diseases.",1
Code Elegance,"generally, quite good inheritance is used for the disease class for clarity and reusability. animal classes can be further reduced using inheritance.",1
Code Elegance,"generally, some repeated code segments exist in projects. design choices have led to difficulty in extending the function.",1
Code Elegance,"generally, this student attempts to reuse code segments through the use of inheritance and polymorphism. only minor repetitive code segments are created due to class design choice.",1
Code Elegance,"give birth function has similar structure in each animal, should of implemented it in the animal class.",1
Code Elegance,"good abstraction level, code is not rewritten and a lot of generalization",1
Code Elegance,good attempt at reducing the repeated code through the use of abstract classes. can be even craftier at producing offspring for each of the animal classes. also it seems illogical to use class names to provide linkage for predator and prey.,1
Code Elegance,good code practice. class design is sensible.,1
Code Elegance,good code reusability,1
Code Elegance,"good code reusability, some functions are very long; should break them down. could of split up animals to predator and pray class to improve code elegance.",1
Code Elegance,good implementation of the notions learnt in class,1
Code Elegance,"good level of abstraction, code is not rewritten and generalized very well",1
Code Elegance,"good understanding of the java language utilising abstract classes and having the animal class extend organism. however, no abstraction made for predators and preys, they all fall under the animal class. ",1
Code Elegance,good usage of organism abstract class. animals extend prey or predator class which allows for code to not be rewritten,1
Code Elegance,good use of abstract classes for predators and preys. weather could be implemented in separate class,1
Code Elegance,good use of abstract classes however the implementation is a little cumbersome and causes slow running of the program.,1
Code Elegance,good use of abstract classes to capture animal behaviour. could go further in this regard.,1
Code Elegance,good use of abstraction,1
Code Elegance,good use of the classes notions,1
Code Elegance,good use of the concepts of the class,1
Code Elegance,"good use of the learnt notions, challenges well implemented",1
Code Elegance,"good use of the notion in class, sone challenges successfully implemented",1
Code Elegance,good use of the notions learnt during the module,1
Code Elegance,good use of the notions taught in class,1
Code Elegance,good use of the noton learnt in class,1
Code Elegance,"great code reusability, no repeating code. however some functions are long and do more than 1 thing.",1
Code Elegance,"great level of abstraction, code is not reused with the animal, predator and prey classes. usage of constants class ",1
Code Elegance,"great structure, concepts learned well utilised",1
Code Elegance,"great use of abstract classes, code is not rewritten",1
Code Elegance,great use of abstraction and interfaces. code is split nicely into packages.,1
Code Elegance,"great use of abstraction, code is not rewritten for each animal due to predator and prey classes however, canbreed() function could be abstracted even further to animal class.",1
Code Elegance,"great use of all notion of the class, well done",1
Code Elegance,"great use of classes and functions to make re-usable and maintainable code, but could be further improved.",1
Code Elegance,great use of the concepts taught during the module to serve your project,1
Code Elegance,"has formatting issues, a lot of places that can be improved through separate methods instead of writing long lines and if statements, copy/paste issues in documentation, super keyword can be used for readability, consist of duplications",1
Code Elegance,"if statements in act methods of animals, could replace with polymorphism",1
Code Elegance,"it is not usually a good practice to return null in a method. the animals created are not part of different classes, they are just creations in the simulation. the code written is not very elegant as it is hard to find all the required elements.",1
Code Elegance,it is okay but could be better.,1
Code Elegance,it is overly complex and has lots of segregation,1
Code Elegance,"lots of code duplications, good level of abstraction could be used",1
Code Elegance,"lots of repeated code, could have implemented the act functions in the animal class, same goes for givebirth and findfood. some functions are very long and should break them down. ",1
Code Elegance,"lots of repeated code, could have implemented the act functions in the animal class, same goes for givebirth and findfood. some functions are very long and should break them down. no need for sex class.",1
Code Elegance,"lots of repeated code, could have implemented the act functions in the animal class, same goes for givebirth and findfood. some functions are very long and should break them down. some not useful classes.",1
Code Elegance,"lots of repeated code, could have implemented the act functions in the animal class, same goes for givebirth and findfood. some functions are very long and should break them down. very poor code optimisation which is why the simulation is running slow.",1
Code Elegance,"lots of repeated code, could have implemented the act functions in the animal class, same goes for givebirth and findfood. you have fox, male fox and female fox class which is not good coding. some functions are very long; should break them down. ",1
Code Elegance,"lots of repeated code, could have implemented the findfood and find-airs functions in the animal class. some functions are very long and should break them down.",1
Code Elegance,"lots of repeated code, could of implemented the act functions in the animal class for better reusability.",1
Code Elegance,"lots of repeated code, could of implemented the act functions in the animal class, same goes for givebirth and findfood",1
Code Elegance,"lots of reusable code, no repetition",1
Code Elegance,"many characteristics of a specific species should have been instantiated in the superclass rather than each subclass. the 'deadbody' class is not required - this should be just a variable in a superclass of the species. this happens the same for the 'undead'. 'reproduction' should not be an interface, this should have been designed as a variable.",1
Code Elegance,"many characteristics of an animal are instantiated in the same class, even though they could have been instantiated in the superclass. long methods should have been split into more different methods.",1
Code Elegance,many variables are common between multiple classes and they are defined in each of the subclasses instead of the superclass.,1
Code Elegance,"methods are reusable and readable, but few code repetition",1
Code Elegance,"more thoughtful than others, but it does not improve elegance (if i am honest, it only makes things worse). however, this is the inherent problem from the example, which should not be a reason to punish our students.",1
Code Elegance,"most methods in animal classes are repeatedly defined, so perhaps some sort of inheritance can be included in. the predator and prey classes to increase reusability.",1
Code Elegance,mostly appropriate class hierarchy and abstractions are applied. it would be worth considering that semantically it makes less sense for an organism's food value to be determined by the predator rather than a specific food value assigned to a prey. besides that code is clean and concise. there is a quite a bit of repetition. it seems there are many configuration variables shared across different animals/organisms that are constantly redeclared and reexplained.,1
Code Elegance,"mostly appropriate use of oop techniques, unsure about the necessity of the gender class. it seems more semantically intact for gender to be an attribute of any entity rather than an entity in itself. class hierarchy should aim to replicate the domain hierarchy, else you are designing less of an object-oriented system and more of an arbitrarily designed set of data types.",1
Code Elegance,mostly solid implementation although a few hacky lines exist throughout reducing readability and maintainability.,1
Code Elegance,nice use of lifeform class to encapsulate repeated use of code. good use of environment class to encapsulate information of field.,1
Code Elegance,no changes were made to the default code provided.,1
Code Elegance,no changes were made to the default code provided. same code as the default files provided. no changes were made.,1
Code Elegance,no code,1
Code Elegance,no java source files were included in the submission - only java files and so the code cannot be compiled,1
Code Elegance,no modifications have been made to the original code distributed to students as part of the assignment. ,1
Code Elegance,"no need to separate animal into two genders in two different files, this should be handled within the animal class itself. otherwise the implementation is reasonable.",1
Code Elegance,no need to separate sex into it's own class this should be handled within the animal class itself. otherwise the implementation is reasonable.,1
Code Elegance,no submission,1
Code Elegance,no usage of abstract classes or interfaces. a lot of rewritten code. ,1
Code Elegance,"no usage of abstraction other than animal class, a lot of rewritten code. ",1
Code Elegance,"no use of predator and prey classes, a lot of rewritten code",1
Code Elegance,not abstract classes have abstract methods. code not split into many methods makes it not reusable. every animal has characteristics that it should not have in their superclass.,1
Code Elegance,"overall a lot of code segment seems to be repetitive and can be extracted through methods. for example, adding new children or hunting food can be extracted into generic methods in a parent class.",1
Code Elegance,"overall code elegance is good. the readability of the code is high. the modularity of the codebase could be improved: for example, dividing animal classes into predator/prey sub-types. there are, however, other examples of good extendability in the codebase: such as the fieldstats class.",1
Code Elegance,overall design of the implementation could be improved for reusability of methods ,1
Code Elegance,overall good attempt at using parent class to reduce repeated code. ,1
Code Elegance,overall good attempt at using parent class to reduce repeated code. excellent use of classes to segregate responsibiliities in program.,1
Code Elegance,"overall good attempt at using parent class to reduce repeated code. however, coupling to the simulator class might be inappropriate as it contains lots of logic.",1
Code Elegance,overall nice use of inheritance to reduce repeated code. code seems to be extensible without much sacrifice of readability.,1
Code Elegance,perfect use of the notion of the course and great creativity work to create a unique simulation. very good job,1
Code Elegance,"poor code reusability. act functions are similar so should of implemented that in the animal class, why do you need a new class for each animal and animal class.",1
Code Elegance,predator class is a useful way of representing the predator/prey relations in the simulation. ,1
Code Elegance,program shows good opportunity for extendability. handful of methods have low cohesion.,1
Code Elegance,relatively clean,1
Code Elegance,"scope for additional use of structures (classes, etc.) to make code more elegant, e.g. representation of predator/prey relations.",1
Code Elegance,"scope for additional use of structures (classes, etc.) to make code more elegant.",1
Code Elegance,sections of code can be reduced by extracting it to a more abstract class and can also be broken down into more abstract methods for more animal-specific behavior. ,1
Code Elegance,separate class for weather could be used and superclass for predators and prey may be helpful to better differentiate between entities.,1
Code Elegance,single function which could be moved up the inheritance tree.,1
Code Elegance,"smart coding, reusable functions. no repeating code",1
Code Elegance,some abstractions are messy - probability need not be an enum,1
Code Elegance,some attempt to reduce repeated code segments through abstract classes. however many segments of repeated code still exist.,1
Code Elegance,"some code are heavily repeated, perhaps a use for parent class can be more applicable",1
Code Elegance,"some codes are repeated, such as the switch statement, which can nested in a private method in the parent class and inherited by the animals when breeding not to repeat the same code in different classes.",1
Code Elegance,some comments are redundant or state the obvious. use a shared random instance,1
Code Elegance,"some features are repeated and can be extracted out to a more abstract class. however, some features such as time are extracted out for more cohesion.",1
Code Elegance,"some good use of abstraction however still a lot of rewritten code for example, animals hunting. ",1
Code Elegance,some if-else statements are redundant and classes such as weather could be uncoupled from the simulator by creating a new weather class.,1
Code Elegance,some levels of abstraction,1
Code Elegance,"some levels of abstraction however, a lot of rewritten code where it could be generalised",1
Code Elegance,"some levels of abstraction with the organisms class however, a lot of rewritten code",1
Code Elegance,"some levels of abstraction, good usage of herbivore and carnivore",1
Code Elegance,some of the attributes of the species are defined multiple times in the sublcass rather than in the superclass. some methods should have been defined in the superclass as well. some classes that are not abstract contain abstract methods.,1
Code Elegance,some of the attributes that are common to all animals are defined separately in each instantiation.,1
Code Elegance,some of the attributes that many animals have in common are defined separately in each subclass rather than in the main superclass. the getnewanimal object is not defined only in the superclass.,1
Code Elegance,some of the code is unnecessarily complex or poorly designed.,1
Code Elegance,"some of the constructors are empty, which is not good practice. some variables that are common between many species are part of only the subclass, and not also the superclass. some components that should not be part of the subclass are still instantiated in the incorrect place.",1
Code Elegance,"some of the methods defines outside abstract classes do not have any content. 'plant' class does not have any getter/setter - this is not considered good practice. some of the characteristics of a species are defined for the species itself, rather than for the superclass.",1
Code Elegance,some of the variables that are common between multiple subclasses are defined repeatedly in each subclass instead in their superclass.,1
Code Elegance,"some parts of code does not match single responsibility principle. 
weather should not be responsible for datetimecheck.
rain and sunny implements weather interface but they do day time check. night or day check could be specificly implemented ",1
